Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
30200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
31431001,has job,has job,has job,has job,has job,has job,has job,has job,has job
32031005,has job,has job,has job,has job,has job,has job,has job,has job,has job
40400003,has job,has job,,,,has job,,has job,has job
41000009,,,,,,,,,has job
42000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
50600003,has job,has job,has job,has job,has job,has job,has job,has job,has job
50800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
50900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
51312002,has job,has job,has job,has job,has job,has job,has job,has job,has job
51800006,,,,,,,,,has job
60200004,,,,,has job,has job,has job,has job,has job
81100061,has job,has job,has job,has job,has job,has job,has job,has job,has job
82300031,has job,has job,has job,has job,has job,has job,has job,has job,has job
90531001,has job,has job,has job,has job,has job,has job,has job,has job,has job
90700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
91700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
104300051,has job,has job,has job,has job,has job,has job,has job,has job,has job
111200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
111400004,has job,has job,has job,has job,has job,has job,has job,has job,has job
120600006,,,,,,,,has job,has job
121500006,has job,has job,has job,has job,has job,has job,has job,has job,
121700001,has job,has job,has job,has job,has job,has job,has job,has job,
130531001,has job,has job,has job,has job,has job,has job,has job,has job,
131100006,,,,,,,,has job,has job
140300007,,,,,,,,,has job
150831001,has job,has job,has job,has job,has job,has job,has job,has job,has job
151400002,,,has job,has job,has job,has job,has job,has job,has job
151600007,,,,,,,,has job,has job
151900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
161600031,has job,has job,has job,has job,has job,has job,has job,has job,has job
170721001,,,,,has job,,,has job,has job
171700041,has job,has job,has job,has job,has job,has job,has job,has job,has job
181500004,,,,,,,,,has job
210600003,has job,has job,has job,has job,has job,has job,has job,has job,has job
211300031,has job,has job,has job,has job,has job,has job,has job,has job,has job
211300061,,,has job,,has job,has job,has job,has job,has job
211700061,has job,has job,has job,has job,has job,has job,has job,has job,has job
211700071,has job,has job,has job,has job,has job,has job,has job,has job,has job
221600005,has job,has job,has job,has job,has job,has job,has job,has job,has job
231000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
240300006,has job,has job,,,,,,,
240300009,has job,has job,has job,has job,has job,has job,has job,has job,has job
240411004,has job,has job,has job,has job,has job,has job,has job,has job,has job
240500008,,has job,has job,has job,has job,has job,has job,has job,has job
240700003,,,has job,has job,has job,has job,has job,has job,has job
241400007,has job,has job,has job,has job,has job,has job,has job,has job,has job
241431004,,,,,,has job,has job,has job,has job
241600041,has job,has job,has job,has job,has job,has job,has job,has job,has job
241900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
242000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
242400003,has job,has job,has job,has job,has job,has job,has job,has job,has job
242531001,has job,has job,has job,has job,has job,has job,has job,has job,has job
242800004,,,,,,,has job,has job,has job
242800011,has job,has job,has job,has job,has job,has job,has job,has job,has job
242800031,,,,,has job,has job,has job,has job,has job
2501000011,has job,has job,has job,has job,has job,has job,has job,has job,has job
2501000014,,,,,,,,,has job
250200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
250200007,has job,has job,has job,has job,has job,has job,has job,has job,has job
251200004,,,,,,,,,has job
251231001,has job,has job,has job,has job,has job,has job,has job,has job,has job
251600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
251600005,,,,has job,has job,has job,has job,has job,has job
251700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
251700003,,,,,,,has job,has job,has job
251800041,,,,,,,,has job,has job
251900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
270832001,has job,has job,has job,has job,has job,has job,has job,has job,has job
271000008,,,,,,,,,has job
271300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
280400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
280500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
281200041,,has job,has job,has job,has job,has job,has job,has job,has job
281600002,,,has job,has job,,,,,has job
282331001,has job,has job,has job,has job,has job,has job,has job,has job,has job
290700001,has job,has job,has job,has job,has job,has job,has job,,
290800001,has job,has job,has job,has job,has job,has job,has job,,
291700091,has job,has job,has job,has job,has job,has job,has job,has job,has job
292200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
292900003,has job,has job,has job,has job,has job,has job,has job,has job,has job
300900041,,,,,,,,has job,has job
301600011,has job,has job,has job,has job,has job,has job,has job,has job,has job
302800004,has job,has job,has job,,has job,has job,has job,has job,has job
302800011,has job,has job,has job,has job,has job,has job,has job,has job,has job
310600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
320500051,has job,has job,has job,has job,has job,has job,has job,has job,has job
321300007,has job,has job,has job,has job,has job,has job,has job,has job,has job
321631002,has job,has job,has job,has job,has job,has job,has job,has job,has job
323000011,has job,has job,has job,has job,has job,has job,has job,has job,has job
330300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
330300003,,,,,,has job,has job,has job,has job
330300004,,,,has job,has job,has job,has job,has job,has job
330300006,has job,has job,has job,,,has job,has job,has job,has job
330700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
330700003,,,,has job,has job,has job,has job,has job,has job
330700051,has job,has job,has job,has job,has job,has job,has job,has job,has job
330800002,,,,,,has job,has job,has job,has job
330800004,has job,,,,has job,has job,,,has job
330800005,has job,has job,has job,has job,has job,has job,has job,has job,has job
331100031,has job,has job,has job,has job,has job,has job,has job,has job,has job
331400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
331500002,has job,has job,has job,has job,has job,has job,has job,has job,has job
331900004,,,has job,has job,has job,has job,has job,has job,has job
332100007,,has job,has job,has job,has job,has job,has job,has job,has job
332300003,has job,has job,has job,has job,has job,has job,has job,has job,has job
332400004,has job,,,has job,has job,has job,,,has job
332400005,,,,,,,has job,has job,
332500031,has job,has job,has job,has job,has job,has job,has job,has job,has job
332700001,has job,,,,,,,has job,has job
332800031,has job,has job,has job,has job,has job,has job,has job,has job,has job
340100001,has job,has job,has job,has job,has job,,,has job,has job
341100001,has job,has job,has job,has job,has job,has job,has job,,
341200003,has job,has job,has job,has job,has job,has job,has job,has job,has job
341300081,has job,has job,has job,has job,has job,has job,has job,has job,has job
341600001,,,has job,has job,has job,has job,,,has job
341631001,has job,,,,,,,,
341800006,,,,,,,,,has job
341900005,,,,,has job,has job,has job,has job,has job
3504000010,has job,has job,has job,has job,has job,has job,has job,has job,
350900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
350900005,,,,,,has job,has job,has job,has job
351300007,,has job,has job,has job,has job,has job,has job,has job,
351900001,has job,has job,has job,has job,has job,has job,has job,has job,
3541000011,has job,has job,has job,has job,has job,has job,has job,has job,
354300091,,,,has job,has job,has job,has job,has job,has job
360100004,has job,has job,has job,has job,has job,has job,has job,has job,has job
360231001,has job,has job,has job,has job,has job,has job,has job,has job,has job
360600001,has job,has job,,,,,,,
361200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
