Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
30931002,has job,,has job,has job,,,,,
32800031,,,,,,,,,has job
42900004,,,,has job,has job,has job,has job,has job,has job
71800041,,,has job,has job,has job,has job,has job,has job,has job
101700031,,has job,has job,has job,has job,has job,has job,has job,has job
152000006,,,,,,,,has job,has job
161800004,,,,,,,has job,has job,has job
220500031,,,,has job,has job,has job,has job,has job,has job
230931003,,,has job,has job,has job,has job,has job,has job,has job
231700003,has job,has job,has job,has job,has job,has job,has job,has job,has job
262000006,,has job,has job,has job,has job,has job,has job,has job,
302500005,,,has job,has job,has job,has job,has job,has job,has job
311900061,has job,has job,has job,has job,has job,has job,has job,has job,has job
320300051,,,,has job,has job,has job,has job,has job,has job
360600003,,,,,,,has job,has job,has job
443000101,,,,,,,,,has job
470400041,has job,has job,has job,has job,has job,has job,has job,has job,has job
501631001,has job,has job,has job,has job,has job,has job,has job,has job,has job
521000003,has job,has job,has job,has job,has job,has job,has job,has job,
531900032,,,has job,has job,has job,has job,has job,,
572000004,,,has job,has job,,has job,has job,has job,has job
650900009,has job,has job,has job,has job,has job,has job,has job,has job,
651300003,,,,,,has job,has job,has job,has job
670400006,,has job,has job,has job,has job,has job,has job,has job,has job
671500041,,,,,has job,has job,has job,has job,has job
672031001,has job,has job,has job,has job,has job,has job,has job,has job,has job
704100031,has job,has job,has job,has job,has job,has job,has job,has job,has job
710632001,has job,has job,has job,has job,has job,has job,has job,has job,has job
710900004,has job,has job,has job,has job,has job,has job,has job,has job,has job
711434002,has job,has job,has job,has job,has job,has job,has job,has job,has job
750500032,,,,,,,,has job,has job
751200003,,,,has job,has job,has job,has job,has job,
751200004,,,,,has job,has job,has job,has job,
751400002,,,,,has job,has job,has job,has job,
751900005,,,,,,has job,has job,has job,
760100006,,,,,,,,has job,
760400009,has job,has job,has job,has job,has job,has job,has job,has job,
760431001,,has job,has job,has job,has job,has job,has job,has job,has job
760800041,has job,,,has job,has job,has job,has job,has job,has job
761000003,has job,has job,has job,has job,has job,has job,has job,has job,has job
800912003,has job,has job,has job,has job,has job,has job,has job,has job,has job
801100001,has job,,,,,,,,
801200002,has job,has job,has job,has job,has job,,,,
820311001,has job,has job,,,,,,,
820800071,,,,,,has job,has job,has job,has job
821500032,,,,,,,,has job,has job
830800003,,,,,,has job,has job,has job,has job
830900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
831000061,has job,has job,has job,has job,has job,has job,has job,has job,has job
831132001,has job,has job,has job,has job,has job,has job,has job,has job,has job
831300008,has job,has job,has job,has job,has job,has job,has job,has job,has job
831831002,has job,has job,,,,,,,
871900005,,has job,has job,has job,has job,has job,has job,has job,has job
881000031,has job,has job,has job,has job,has job,has job,has job,has job,has job
881300032,has job,has job,has job,has job,has job,has job,has job,has job,has job
894131002,has job,has job,has job,has job,has job,has job,has job,has job,has job
911300051,,,,,,,,has job,has job
930100006,has job,has job,has job,has job,has job,has job,has job,has job,has job
930233001,has job,has job,has job,has job,has job,has job,has job,has job,has job
9516000010,has job,has job,has job,has job,has job,has job,has job,has job,has job
951900009,,,has job,has job,has job,has job,has job,has job,has job
951900041,has job,has job,has job,has job,has job,has job,has job,has job,has job
970600004,,,,,,has job,has job,has job,has job
980100007,has job,has job,has job,has job,has job,has job,has job,has job,has job
990611002,,,,,has job,has job,has job,has job,has job
1011300009,,,,,,,,,has job
1030300002,,,,has job,has job,has job,has job,,
1040800008,has job,has job,has job,has job,has job,has job,has job,has job,
1041200006,,,,,has job,has job,has job,has job,
1041500051,has job,has job,has job,has job,has job,has job,has job,has job,
1072322009,has job,has job,has job,has job,has job,has job,has job,has job,has job
1072600004,has job,has job,has job,has job,has job,has job,has job,has job,has job
1080400007,,,,,,,has job,has job,has job
1080600042,,has job,has job,has job,has job,has job,has job,has job,has job
1110900002,has job,has job,has job,has job,has job,has job,has job,,
1110900003,,,,,,,,has job,
1111531001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1121200002,has job,has job,,,,,,has job,has job
1150600006,,,,,has job,has job,has job,has job,
1171500001,has job,has job,has job,has job,has job,has job,has job,has job,
1231000091,,has job,has job,has job,has job,has job,has job,has job,
1290100001,has job,has job,has job,has job,has job,has job,has job,has job,
1290131001,,,,,,,,has job,has job
1321900004,,,,,,,has job,has job,
1360500031,has job,has job,has job,has job,has job,has job,has job,has job,has job
1372000003,,,,,,,,,has job
1422600001,has job,has job,has job,has job,has job,has job,has job,has job,
1451800003,has job,has job,has job,has job,has job,has job,has job,has job,has job
1460400041,has job,has job,has job,has job,has job,has job,has job,has job,has job
1490400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1511800004,has job,has job,has job,has job,has job,has job,has job,has job,
1511900031,,,,,,,has job,has job,has job
1511900041,,,,has job,has job,has job,has job,has job,has job
1541200071,,,,has job,has job,has job,has job,has job,has job
1541232002,has job,has job,has job,has job,has job,has job,has job,has job,has job
1551600001,has job,has job,has job,has job,has job,has job,,,
1581100004,has job,has job,has job,has job,has job,has job,has job,has job,has job
1581631001,,,,,has job,has job,has job,has job,has job
1581700004,,has job,has job,has job,has job,has job,has job,has job,has job
1600831001,,,,has job,has job,has job,has job,has job,has job
1680600042,has job,has job,has job,has job,has job,has job,has job,has job,has job
1701400005,has job,has job,has job,has job,has job,has job,has job,has job,has job
1720200002,,,,has job,has job,has job,has job,has job,has job
1850500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1871300003,has job,has job,has job,has job,has job,has job,has job,has job,has job
1871600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1871600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
1881800041,has job,has job,has job,has job,has job,has job,has job,has job,has job
1900232001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1921200004,,,,,,,,has job,has job
1931900007,,,,,,,has job,has job,has job
1934100032,,,,,,,,has job,has job
1941500004,,,,,,,,,has job
1963000003,has job,has job,has job,has job,has job,has job,has job,has job,
1991700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2010911003,,,,,has job,has job,has job,,
2021800008,,,,has job,,has job,has job,has job,has job
2022031004,has job,has job,has job,has job,has job,has job,has job,has job,has job
2030700042,,,has job,has job,has job,has job,has job,has job,has job
2030731002,has job,has job,has job,has job,has job,has job,has job,has job,has job
2070100021,,,has job,has job,has job,has job,has job,has job,has job
2082200009,has job,has job,has job,has job,has job,has job,has job,has job,has job
2082431002,has job,has job,has job,has job,has job,has job,has job,has job,has job
2112000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2130800004,has job,has job,has job,has job,has job,,,,
2131200002,,,has job,has job,has job,has job,has job,has job,has job
2160500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
21620000011,has job,has job,has job,has job,has job,has job,has job,has job,has job
2170431002,has job,has job,has job,has job,has job,has job,has job,has job,has job
2170700045,,,has job,has job,has job,has job,has job,has job,has job
2171000041,,,,,,,,,has job
2201100041,has job,has job,has job,has job,has job,has job,has job,has job,has job
2341500004,,,,,,,has job,,
2350100007,,,,has job,has job,has job,has job,has job,has job
2351200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2351511002,has job,has job,has job,has job,has job,has job,has job,has job,has job
2351700035,,,,,,,,,has job
2380300032,has job,has job,has job,has job,has job,has job,has job,has job,has job
2402000003,,,,,,,has job,has job,has job
2410700003,has job,has job,has job,has job,has job,has job,has job,has job,has job
2442500003,,,,,has job,has job,has job,has job,
2460500041,,,has job,has job,has job,has job,has job,has job,has job
2464100005,,,,,,,,,has job
2530600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
2530600004,,,,,,,,has job,has job
2582000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2611400042,has job,has job,,,,,,,
2611600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2690200003,has job,has job,has job,has job,has job,has job,has job,has job,has job
2700800051,has job,has job,has job,,,,,,has job
27319000014,,,has job,,,,,,
2780831001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2781232002,has job,,,,,,,,
2791600006,,,,,,,,has job,
2810111001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2820912003,has job,has job,has job,has job,has job,has job,has job,has job,has job
2831731002,has job,,,,,,,,
2910800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2920200031,,,has job,has job,has job,has job,has job,has job,has job
3021500004,,,,has job,has job,has job,has job,has job,
3021531004,,,,,,,,has job,has job
3050200008,has job,has job,has job,has job,has job,has job,has job,has job,
3100500004,has job,has job,has job,has job,has job,has job,has job,has job,has job
3101900041,,,,,,,,has job,has job
3111700003,,,,,,has job,,,
3160431002,,,,,,,,,has job
3181311002,has job,has job,has job,has job,has job,has job,has job,has job,has job
3181800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
