Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
20100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
20100003,has job,has job,has job,has job,has job,has job,has job,has job,has job
20100004,has job,has job,has job,has job,has job,has job,has job,has job,has job
30500005,,has job,has job,has job,has job,has job,has job,has job,has job
30800004,,,,,,,,has job,has job
30900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
31000003,has job,has job,has job,has job,has job,has job,has job,has job,has job
31000042,has job,has job,has job,has job,has job,has job,has job,has job,has job
31211002,has job,has job,has job,has job,has job,has job,has job,has job,has job
31300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
31500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
31500003,,,,,has job,has job,has job,has job,has job
40700081,,,,has job,has job,has job,has job,has job,has job
40731002,,,has job,has job,,has job,has job,has job,has job
41000042,,,,,has job,has job,has job,,has job
41321002,,,,,,has job,has job,,
414000010,,has job,has job,has job,has job,has job,has job,has job,has job
41600001,,has job,has job,has job,has job,has job,has job,has job,has job
41800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
42222001,,,,has job,has job,has job,has job,has job,has job
42321001,,,,has job,has job,has job,,,
42400006,has job,has job,has job,has job,has job,has job,has job,has job,has job
42422001,,has job,has job,has job,has job,has job,has job,has job,has job
43022002,has job,has job,has job,has job,has job,has job,has job,has job,has job
51300021,has job,has job,has job,has job,has job,has job,has job,has job,has job
51400051,has job,has job,has job,has job,has job,has job,has job,has job,has job
51400061,has job,has job,has job,has job,has job,has job,has job,has job,has job
51600001,has job,has job,has job,has job,,has job,has job,has job,has job
60400052,,,,has job,has job,has job,has job,has job,has job
60411001,,,,,,has job,has job,has job,has job
61100051,,,,,has job,has job,has job,has job,
61900004,,,,,has job,has job,has job,,
72321003,,,has job,has job,has job,has job,has job,has job,has job
72500021,has job,has job,has job,has job,has job,,has job,has job,has job
80200052,,,,,,,has job,has job,has job
80331002,,has job,has job,has job,has job,has job,has job,has job,
80331003,,,,,,,,has job,
80400002,,,,,,,,,has job
81100062,,,has job,has job,,,,,
