Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
41000041,has job,has job,has job,has job,has job,has job,has job,has job,has job
41300004,,,,,,,,has job,has job
92900021,has job,has job,has job,has job,has job,has job,has job,has job,has job
141700031,,,,has job,has job,has job,has job,has job,has job
220500002,has job,has job,has job,has job,has job,,,,
310400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
311900003,has job,has job,has job,has job,has job,has job,has job,has job,has job
330611003,,,,,,,has job,has job,has job
330631001,has job,has job,has job,has job,has job,,,,
333000041,has job,has job,has job,has job,has job,has job,has job,has job,has job
340400006,,,,,,has job,has job,has job,has job
351500001,has job,has job,has job,has job,has job,has job,has job,has job,
371800004,,,,,,,has job,has job,has job
380100051,has job,has job,has job,has job,has job,has job,has job,has job,has job
621800051,has job,has job,has job,has job,has job,has job,has job,has job,has job
640800041,has job,has job,has job,has job,has job,has job,has job,has job,has job
651632001,has job,has job,has job,has job,has job,has job,has job,has job,has job
704400005,has job,has job,has job,has job,has job,has job,has job,has job,has job
711200042,has job,has job,has job,has job,has job,has job,,,
730300041,has job,has job,has job,has job,has job,has job,has job,has job,has job
780700041,has job,has job,has job,has job,has job,has job,has job,has job,
931800007,has job,has job,has job,has job,has job,has job,has job,has job,has job
1000200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1041500072,,,,,has job,has job,has job,has job,has job
1041800021,,,,,has job,has job,has job,has job,
11519000011,has job,has job,has job,has job,has job,has job,has job,has job,
1211000009,,,,,,has job,has job,has job,has job
1321400009,has job,has job,has job,has job,has job,has job,,,
1400500002,has job,has job,has job,has job,has job,has job,has job,has job,has job
1410700031,,,,,has job,has job,has job,has job,
1451000031,,,,has job,has job,has job,has job,has job,has job
1460300032,,,,has job,has job,has job,has job,has job,has job
1491500031,has job,has job,has job,has job,has job,has job,has job,has job,has job
1522000041,,,,has job,has job,has job,has job,has job,
1530231001,has job,has job,has job,has job,has job,has job,has job,has job,
1540900005,,,,,,,has job,has job,has job
1591600032,,,,,has job,has job,has job,,
1600500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1600500006,has job,has job,has job,has job,has job,has job,has job,has job,has job
1871100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1871100003,,,,,,,,,has job
18741210013,has job,has job,has job,has job,has job,has job,has job,has job,has job
2021800003,has job,has job,has job,has job,has job,has job,has job,has job,has job
2191200051,has job,has job,has job,has job,has job,has job,has job,has job,has job
2220900042,,,,,,has job,has job,,
2221900001,has job,has job,has job,has job,,,,,
2411400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
2420100005,,,,,,,has job,has job,has job
2480600005,,,,,,has job,has job,has job,has job
2490111003,,,has job,has job,has job,has job,has job,has job,has job
2531900032,,,has job,has job,has job,has job,has job,has job,has job
2540800031,has job,,,,has job,has job,has job,has job,has job
2551000051,,,has job,has job,has job,has job,has job,has job,has job
2581200006,has job,has job,has job,has job,has job,has job,has job,has job,has job
2581600052,,,,,has job,has job,has job,has job,has job
2611700031,has job,has job,has job,has job,has job,has job,has job,has job,has job
2632600004,,,,,,,has job,has job,has job
2641631001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2671800051,,,has job,has job,has job,has job,has job,has job,has job
2700431001,has job,has job,has job,has job,has job,has job,has job,has job,
2840300041,,has job,has job,has job,has job,has job,has job,has job,has job
2951631005,,,,has job,has job,has job,has job,has job,has job
2960400001,has job,has job,has job,has job,has job,has job,has job,has job,
3100300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
31017000013,has job,has job,has job,has job,has job,has job,,has job,has job
3161900057,,has job,has job,has job,has job,has job,has job,has job,
3171900041,,,has job,has job,has job,has job,has job,has job,has job
3180400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
3180400081,has job,has job,has job,has job,has job,has job,has job,has job,has job
3212200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
