Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
12200006,no job,no job,no job,no job,no job,no job,no job,no job,
12200009,no job,no job,no job,no job,,,,,
12500003,no job,no job,,,,,,,
12500008,no job,no job,,,,,,,
20200001,no job,no job,,,,,,,
20400033,no job,no job,no job,no job,no job,no job,,,
20600006,no job,no job,no job,no job,no job,no job,,,
21100041,no job,no job,no job,no job,no job,no job,no job,,
21800005,no job,no job,no job,no job,no job,no job,no job,no job,
21800008,no job,no job,no job,no job,no job,no job,no job,,
21800071,no job,no job,no job,no job,no job,no job,no job,,
21831002,no job,no job,no job,,,,,,
21900002,,,,,no job,no job,,,
21900004,no job,no job,no job,no job,no job,no job,no job,no job,no job
22500002,,,,,,no job,no job,,
22500004,no job,no job,no job,no job,no job,no job,,,
22700002,no job,,,,,,,,
22900002,no job,no job,no job,no job,no job,no job,no job,,
22900041,no job,no job,no job,no job,no job,no job,no job,no job,no job
23000006,no job,no job,no job,no job,no job,no job,no job,no job,no job
230000011,no job,no job,no job,no job,no job,no job,no job,,
30100007,no job,no job,no job,no job,no job,no job,no job,no job,no job
30100042,no job,no job,no job,no job,no job,,,,
30200052,no job,no job,,,,,,,
30312031,,,,no job,no job,no job,no job,no job,
30400003,no job,no job,no job,,,,,,
30500005,no job,,,,,,,,
30500006,,,,,no job,no job,no job,no job,
30500007,no job,no job,no job,no job,no job,no job,no job,,
30800004,no job,no job,no job,no job,no job,no job,no job,,
30800006,no job,no job,no job,no job,no job,no job,no job,no job,
30800007,no job,no job,no job,no job,no job,no job,no job,,
309000014,no job,no job,no job,no job,,,,,
30931002,,no job,,,no job,no job,no job,no job,no job
31000051,no job,no job,,,,,,,
31100004,no job,no job,no job,no job,no job,no job,no job,,
31300033,no job,no job,no job,no job,,,,,
31431002,no job,no job,no job,no job,no job,no job,no job,no job,
31500003,no job,no job,no job,no job,,,,,
31700041,no job,no job,,,,,,,
31800032,no job,no job,no job,no job,,,,,
31831002,no job,no job,no job,no job,no job,,,,
31900051,no job,no job,no job,no job,no job,no job,no job,no job,
31900052,no job,no job,no job,no job,no job,no job,,,no job
31911002,no job,no job,no job,no job,,,,,
32400008,no job,no job,no job,no job,no job,,,,
32431002,no job,,,,,,,,
32600004,no job,no job,no job,no job,no job,no job,,,
32600031,no job,no job,no job,no job,,,,,
32800031,no job,no job,no job,no job,no job,no job,no job,no job,
32831007,no job,no job,no job,,,,,,
32900035,no job,no job,no job,no job,no job,no job,no job,no job,
33000003,no job,no job,no job,no job,,,,,
33000005,no job,no job,no job,no job,,,,no job,
40200052,no job,no job,no job,no job,no job,no job,no job,no job,
40300003,no job,no job,no job,no job,no job,no job,,,
40321001,,,,,,,,,no job
40321009,no job,,,,,,,,no job
40321004,no job,no job,no job,no job,no job,no job,no job,no job,
40400003,,,no job,no job,no job,,no job,,
40400006,no job,no job,,,,,,no job,no job
40700032,no job,no job,no job,no job,no job,no job,no job,no job,no job
40700081,no job,no job,no job,,,,,,
40700092,no job,no job,no job,no job,no job,,,,
40700091,,,,no job,,,,,
40731002,no job,no job,,,no job,,,,
40900003,no job,no job,no job,no job,no job,no job,no job,no job,
41000008,no job,no job,no job,no job,no job,no job,no job,,
41000009,no job,no job,no job,no job,no job,no job,no job,no job,
41000042,no job,no job,no job,no job,,,,no job,
41000052,no job,no job,,,,,,,no job
41031002,no job,no job,,,,,,,no job
41300004,no job,no job,no job,no job,no job,no job,no job,,
41300062,,,,,no job,no job,,,
41321001,no job,no job,,no job,,,,,
41321002,no job,no job,no job,no job,no job,,,no job,no job
41400002,no job,no job,no job,no job,no job,no job,no job,no job,no job
414000010,no job,,,,,,,,
414000011,no job,no job,no job,no job,no job,no job,no job,no job,no job
41400042,no job,no job,no job,no job,no job,no job,no job,,
41600001,no job,,,,,,,,
41700004,,,,,,no job,no job,no job,no job
41900002,,,,,,,,no job,no job
41900031,no job,no job,no job,no job,no job,,,,
42100002,,,,,,,,no job,no job
42200052,no job,no job,no job,no job,no job,no job,,,no job
42200051,no job,no job,no job,,,,,,
42200062,no job,no job,no job,no job,no job,no job,no job,no job,
42222001,no job,no job,no job,,,,,,
42321001,no job,no job,no job,,,,no job,no job,no job
42321002,no job,no job,,,,,,,
42422001,no job,,,,,,,,
42500002,,,,,,,no job,no job,no job
42600006,no job,no job,,,,,,no job,no job
42600052,,,,,,,no job,no job,
42900004,no job,no job,no job,,,,,,
43000004,no job,no job,no job,no job,no job,no job,no job,no job,
50131002,no job,no job,no job,,,,,,
50300001,no job,no job,,,,,,,
50300022,no job,no job,no job,no job,no job,no job,,no job,no job
50400001,,,,,,,,no job,no job
50400043,no job,no job,no job,no job,no job,,,,
50400044,no job,no job,no job,no job,no job,no job,no job,,
50400052,no job,no job,no job,no job,no job,no job,no job,,no job
50600002,no job,no job,no job,no job,no job,no job,no job,no job,
50600005,no job,no job,no job,no job,no job,no job,,,
50600006,no job,no job,no job,no job,no job,no job,no job,no job,
50600042,no job,no job,no job,no job,no job,,,no job,
50600041,no job,no job,no job,no job,no job,no job,no job,,
50800003,,no job,,,,,,,
50900002,no job,no job,no job,no job,no job,no job,no job,,
50900092,no job,no job,no job,no job,,no job,no job,no job,no job
50900091,no job,no job,no job,no job,no job,no job,,,
51000001,no job,no job,no job,no job,no job,,,,
51000002,no job,no job,no job,no job,no job,no job,no job,,
51000031,no job,no job,no job,no job,no job,,,no job,
51100005,no job,no job,no job,no job,no job,no job,no job,,
51300022,,,no job,no job,no job,no job,no job,no job,no job
51312003,no job,no job,,,,,,,
51400007,no job,no job,no job,no job,no job,no job,no job,,
51400062,no job,no job,no job,no job,no job,no job,,,no job
51600001,,,,,no job,,,,
51600002,no job,no job,no job,no job,no job,no job,no job,no job,
51600006,no job,no job,no job,no job,no job,no job,no job,,
51600032,no job,no job,no job,no job,no job,no job,no job,no job,no job
51600042,no job,no job,no job,no job,no job,,,,
51700002,no job,no job,no job,no job,no job,no job,no job,,
51700031,no job,no job,no job,no job,no job,,,,
51700032,no job,no job,no job,no job,no job,no job,no job,no job,
51800002,no job,,no job,no job,no job,no job,no job,,
51800006,no job,no job,no job,no job,no job,no job,no job,no job,
60200004,no job,no job,no job,no job,,,,,
60300041,no job,no job,no job,no job,,,,,
60400052,no job,no job,no job,,,,,,
60411001,no job,no job,no job,no job,no job,,,,
60431002,no job,no job,no job,no job,no job,no job,,,
60600005,,,no job,no job,no job,no job,no job,no job,no job
60700003,no job,no job,no job,no job,no job,no job,,,
60800042,no job,no job,no job,no job,no job,no job,no job,no job,
60800041,no job,no job,no job,no job,,,,,
60900031,no job,no job,no job,no job,,,,,
61000041,no job,no job,no job,no job,no job,,,,
61100001,,,,,no job,no job,no job,no job,no job
61100002,,,,,,,,no job,no job
61100051,no job,no job,no job,no job,,,,,no job
61131002,no job,,,,no job,no job,no job,no job,no job
61400042,no job,no job,no job,,,,,no job,no job
61400041,no job,,,,,,,,
61400051,no job,no job,no job,,,,,,
61400052,no job,no job,no job,no job,no job,no job,no job,no job,
61600001,,,,,,,,no job,no job
61600002,,,,,,,,no job,no job
61900004,no job,no job,no job,no job,,,,no job,no job
62000041,no job,no job,no job,,,,,,
70100022,no job,no job,no job,no job,,,,,
70300007,no job,no job,no job,,,,,,
70400007,,,,,,no job,,,
70500004,no job,,,,,,,,
70500031,no job,no job,no job,no job,,,,,
70700002,,,,,,,,no job,no job
70721002,no job,,,,,,,,
71000001,,,,,,no job,no job,no job,no job
71431003,no job,no job,no job,no job,no job,no job,no job,no job,no job
71600006,no job,no job,no job,no job,no job,no job,no job,no job,
71800003,no job,no job,no job,,,,,,
71800045,no job,no job,no job,,,,,,
71800046,no job,no job,no job,no job,no job,no job,no job,no job,
71800042,,,,,no job,no job,no job,no job,no job
71800041,no job,no job,,,,,,,
71800061,no job,no job,,,,,,,
72000006,no job,no job,no job,no job,no job,no job,no job,no job,
72300004,no job,,,no job,,,,,
72300008,no job,no job,,,,,no job,no job,
72321003,no job,no job,,,,,,,
72321004,no job,no job,no job,no job,no job,no job,,,
72400003,no job,,,,,,,,
72400004,no job,no job,no job,no job,no job,no job,,,
72500021,,,,,,no job,,,
72500031,no job,no job,no job,no job,no job,no job,,,
72500032,no job,no job,no job,no job,,,,no job,no job
72600004,no job,no job,no job,no job,no job,no job,no job,,
73000003,no job,no job,no job,no job,no job,no job,,,
80100031,no job,no job,no job,no job,,,,,
80100032,no job,no job,no job,no job,no job,,,,
80100041,no job,no job,no job,no job,no job,no job,,,
80200052,no job,no job,no job,no job,no job,no job,,,
80300004,no job,no job,no job,no job,no job,no job,no job,no job,
80331002,no job,,,,,,,,6
80331003,no job,no job,no job,no job,no job,no job,no job,,6
80400002,no job,no job,no job,no job,no job,no job,no job,no job,
80500003,no job,no job,no job,no job,no job,no job,,,
80600001,no job,no job,no job,no job,no job,no job,no job,,no job
80631001,no job,no job,no job,no job,,,,,
80631002,no job,,no job,no job,no job,no job,no job,no job,no job
80700007,no job,no job,no job,no job,,,,,no job
80700041,no job,no job,,,,,,,
80700042,no job,no job,no job,no job,no job,no job,no job,no job,
80700052,no job,no job,no job,no job,,no job,no job,no job,no job
80800006,no job,no job,no job,no job,no job,no job,no job,no job,
80800042,no job,no job,no job,,,,no job,no job,no job
80800041,no job,no job,no job,no job,no job,no job,no job,,
80900007,no job,no job,no job,no job,no job,,no job,,
80900008,no job,no job,no job,no job,no job,no job,no job,,
80900061,no job,,,,,,,,
81000032,no job,no job,no job,no job,no job,no job,,no job,
81100062,no job,no job,,,no job,no job,no job,no job,no job
81200002,no job,no job,no job,no job,no job,no job,no job,,
81200004,no job,no job,no job,no job,,,,no job,
81200006,no job,no job,no job,no job,no job,no job,no job,no job,
81300002,no job,no job,no job,no job,no job,no job,no job,,
81300041,,,,,,no job,no job,no job,
81400032,no job,no job,no job,,,,,no job,no job
81500005,no job,no job,no job,no job,no job,no job,no job,,
81700004,no job,no job,no job,no job,no job,,,,
81700006,no job,no job,no job,no job,no job,,,,
81731002,no job,no job,no job,,,no job,no job,no job,no job
81900001,no job,no job,no job,no job,no job,no job,no job,no job,
82000031,no job,no job,no job,no job,no job,no job,no job,,
82100007,no job,no job,no job,,,,,,
82300061,no job,no job,no job,no job,no job,,,,
82400007,no job,,,,,,,,
82400062,no job,no job,no job,,,,,,no job
82400061,no job,no job,no job,no job,,,,,
82431001,no job,,,,,,,,
82700003,no job,no job,,,no job,no job,,,
82700065,no job,no job,no job,no job,,,,,
82700064,no job,no job,no job,no job,,,,,
82700074,no job,no job,no job,no job,no job,no job,no job,,
82731005,no job,,,,,,,no job,no job
82900009,no job,no job,no job,no job,no job,no job,no job,no job,
82900052,no job,no job,,,no job,no job,no job,no job,no job
82900051,no job,no job,no job,no job,no job,no job,,,
82900064,no job,no job,no job,no job,no job,no job,no job,no job,
