Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
21100041,,,,,,,,has job,has job
21800005,,,,,,,,,has job
22500002,has job,has job,has job,has job,has job,,,has job,has job
30100042,,,,,,has job,has job,has job,has job
30100041,has job,has job,has job,has job,has job,has job,has job,has job,has job
30200052,,,has job,has job,has job,has job,has job,has job,has job
30312002,has job,has job,has job,has job,has job,has job,has job,has job,has job
30312031,has job,has job,has job,,,,,,has job
30400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
30500042,has job,has job,has job,has job,has job,has job,has job,has job,has job
30800007,,,,,,,,has job,has job
31100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
31100004,,,,,,,,has job,has job
31200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
31300033,,,,,has job,has job,has job,has job,has job
31431002,,,,,,,,,has job
31800032,,,,,has job,has job,has job,has job,has job
32700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
40400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
40900003,,,,,,,,,has job
40900008,has job,has job,has job,has job,has job,has job,has job,has job,has job
41300062,has job,has job,has job,has job,,,has job,has job,has job
41321001,,,has job,,has job,has job,has job,has job,has job
41400042,,,,,,,,has job,has job
41600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
41900031,,,,,,has job,has job,has job,has job
42200062,,,,,,,,,has job
50131002,,,,has job,has job,has job,has job,has job,has job
50300022,,,,,,,has job,,
50400001,has job,has job,has job,has job,has job,has job,has job,,
50400044,,,,,,,,has job,has job
50600041,,,,,,,,has job,has job
50700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
50900002,,,,,,,,has job,has job
50900005,has job,has job,has job,has job,has job,has job,has job,has job,has job
50900092,,,,,has job,,,,
51100005,,,,,,,,has job,has job
51400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
51400007,,,,,,,,has job,has job
51400062,,,,,,,has job,has job,
51700002,,,,,,,,has job,has job
51700032,,,,,,,,,has job
51800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
60300041,,,,,has job,has job,has job,has job,has job
60431002,,,,,,,has job,has job,has job
61400041,,has job,has job,has job,has job,has job,has job,has job,has job
61400052,,,,,,,,,has job
62000041,,,,has job,has job,has job,has job,has job,has job
71800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
71800003,,,,has job,has job,has job,has job,has job,has job
72321004,,,,,,,has job,has job,has job
80100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
80100032,,,,,,has job,has job,has job,has job
80100041,,,,,,,has job,has job,has job
80200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
80200051,has job,has job,has job,has job,has job,has job,has job,has job,has job
80631002,,has job,,,,,,,
80800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
80800005,has job,has job,has job,has job,has job,has job,has job,has job,has job
80800006,,,,,,,,,has job
80800042,,,,has job,has job,has job,,,
80900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
80900008,,,,,,,,has job,has job
81000031,has job,has job,has job,has job,has job,has job,has job,has job,has job
81000032,,,,,,,has job,,has job
81200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
81200002,,,,,,,,has job,has job
81300041,has job,has job,has job,has job,has job,,,,has job
81531002,has job,has job,has job,has job,has job,has job,has job,has job,has job
81700004,,,,,,has job,has job,has job,has job
81700006,,,,,,has job,has job,has job,has job
81900032,has job,has job,has job,has job,has job,has job,has job,has job,has job
81900031,has job,has job,has job,has job,has job,has job,has job,has job,has job
82000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
82300032,has job,has job,has job,has job,has job,has job,has job,has job,has job
82400062,,,,has job,has job,has job,has job,has job,
82700003,,,has job,has job,,,has job,has job,has job
82700065,,,,,has job,has job,has job,has job,has job
82700064,,,,,has job,has job,has job,has job,has job
82900062,has job,has job,has job,has job,has job,has job,has job,has job,has job
83000051,has job,has job,has job,has job,has job,has job,has job,has job,has job
83000052,,,has job,has job,has job,has job,has job,has job,has job
83031001,has job,has job,has job,has job,has job,has job,has job,has job,has job
90600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
90700032,,,,,,,,has job,has job
90700102,has job,has job,has job,has job,has job,has job,has job,has job,has job
91100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
91100004,,,,,,,,,has job
91100006,,,,,,,,has job,has job
92800033,,,,,,has job,has job,has job,has job
92800041,,,,,,,,has job,has job
93000022,,,has job,has job,has job,has job,has job,has job,has job
100600008,,,,,,,has job,has job,has job
100600041,,,has job,has job,,,,has job,has job
101200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
101800007,,,,,,,,has job,has job
102431001,,,,,has job,has job,,has job,has job
102800003,has job,has job,has job,has job,has job,has job,has job,has job,has job
104300081,,,has job,has job,has job,has job,has job,has job,has job
104300082,,,,,,has job,has job,has job,has job
110200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
110231001,has job,has job,has job,has job,has job,has job,has job,has job,has job
110231002,has job,has job,has job,has job,has job,has job,has job,has job,has job
110400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
110431003,,,,has job,has job,has job,has job,has job,has job
111700061,has job,has job,has job,has job,has job,has job,has job,has job,has job
112500041,,,has job,has job,has job,has job,has job,has job,has job
112700032,,,,,,has job,,,
120300001,has job,has job,has job,has job,has job,has job,has job,has job,
120400002,has job,has job,has job,has job,has job,has job,has job,has job,
120400009,has job,has job,,,,,,,
120400062,,,,,,,,has job,
120631007,has job,has job,has job,has job,has job,has job,has job,has job,has job
121200001,has job,has job,has job,has job,has job,has job,has job,has job,
121200032,,has job,has job,has job,has job,has job,has job,has job,
121400007,,,has job,,,,,has job,
121800002,has job,has job,has job,has job,has job,has job,has job,has job,
130600002,,,,,,has job,has job,has job,has job
130900052,has job,has job,,,,,,,
131600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
131700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
131900031,has job,has job,,has job,has job,has job,has job,has job,has job
140100006,,,,has job,has job,has job,has job,has job,has job
140200002,,,has job,has job,has job,has job,has job,has job,has job
140200032,,,,,,,,,has job
140300031,has job,has job,has job,has job,has job,has job,has job,has job,has job
140300032,,has job,has job,has job,has job,has job,has job,has job,has job
141000003,,has job,has job,has job,,,,has job,has job
141100006,,has job,has job,has job,has job,has job,has job,has job,has job
141200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
141200051,has job,has job,has job,has job,has job,has job,has job,has job,has job
141200052,has job,has job,has job,has job,has job,has job,has job,has job,has job
141300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
141400071,,has job,has job,has job,has job,has job,has job,has job,has job
141400072,has job,has job,has job,has job,has job,has job,has job,has job,has job
141431002,has job,has job,,,,,,,
141831002,,,,,,,has job,has job,has job
141900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
141900005,,,,,,,,has job,has job
150400001,has job,has job,,,,,,,
150700002,,has job,has job,has job,has job,has job,has job,has job,has job
1508000014,has job,has job,has job,has job,has job,has job,has job,has job,has job
150800131,,,,,,,,has job,has job
150831002,has job,has job,has job,has job,has job,has job,has job,has job,has job
150831003,,,,,has job,has job,has job,has job,has job
151000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
151100002,,has job,has job,has job,has job,has job,has job,has job,has job
151100032,,,,,,,,,has job
151500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
151700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
151700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
151700061,has job,has job,has job,has job,has job,has job,has job,has job,has job
151900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
152011002,,,,has job,has job,has job,has job,has job,has job
160100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
160121001,has job,has job,has job,has job,has job,,,,
160400002,has job,has job,has job,has job,has job,has job,has job,,
160400003,has job,has job,has job,has job,has job,has job,has job,has job,has job
160400005,has job,has job,has job,has job,has job,has job,has job,has job,has job
160700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
161431002,,,,,,,,,has job
161500004,has job,has job,has job,has job,has job,has job,has job,has job,has job
161600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
161600032,,,,has job,has job,has job,has job,has job,has job
161600042,has job,has job,has job,has job,has job,has job,has job,,
161800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
161800003,,,,,,has job,has job,has job,has job
161900008,,,,,,,,has job,has job
164100042,,has job,has job,has job,has job,has job,has job,has job,has job
170400007,has job,has job,has job,has job,has job,,,,has job
170500004,,,,,,has job,has job,has job,
170600032,,,,,,,,has job,has job
170700005,,,,,,has job,has job,has job,has job
170900002,,,has job,has job,has job,has job,has job,has job,has job
170900004,,,,,,,,has job,
171200005,,,,,,,,has job,has job
171300041,has job,has job,has job,has job,has job,has job,has job,has job,has job
171300061,has job,has job,has job,has job,has job,has job,has job,has job,has job
171300062,,,has job,has job,,,,,
171300092,,,,,,has job,has job,has job,
171321001,has job,has job,has job,has job,has job,has job,has job,has job,has job
171500001,has job,has job,has job,has job,,,,has job,has job
171600006,has job,has job,has job,has job,has job,has job,has job,has job,has job
171600042,,,,,,,,,has job
171731002,,,,,,,,,has job
171900041,has job,has job,has job,has job,has job,has job,has job,has job,has job
180200006,,,,,,has job,has job,has job,has job
180500031,has job,has job,has job,has job,has job,has job,has job,has job,has job
180500052,has job,has job,has job,has job,has job,has job,has job,has job,has job
180531001,has job,has job,has job,has job,has job,has job,has job,has job,has job
180531004,,has job,,,,,,,
180600001,has job,has job,,has job,has job,has job,has job,has job,has job
180600004,,,,has job,has job,has job,has job,has job,has job
180700003,has job,has job,has job,has job,has job,has job,has job,has job,has job
180931002,has job,,,,,,has job,,
181400032,,,has job,has job,has job,,,,
181400042,,has job,has job,has job,has job,has job,has job,has job,has job
181600005,,,,,,has job,has job,,
181700004,,,,,,,has job,has job,has job
181900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
190400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
190700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
190800006,,,,,,,has job,has job,has job
191000006,,has job,,,,,,,
191011002,has job,has job,has job,has job,has job,has job,has job,has job,has job
191800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
191900006,has job,has job,has job,has job,has job,has job,has job,has job,has job
200400003,,has job,has job,has job,has job,has job,,,
200900004,has job,has job,has job,has job,has job,has job,has job,has job,has job
201000002,,,,,has job,has job,has job,has job,has job
201031002,has job,has job,has job,has job,has job,has job,,,has job
201032002,has job,has job,has job,has job,has job,has job,has job,has job,has job
201300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
201400001,,,has job,has job,has job,has job,has job,has job,has job
201900041,has job,has job,has job,has job,has job,has job,has job,has job,has job
210300004,has job,has job,has job,has job,has job,has job,has job,has job,has job
210500032,has job,has job,has job,has job,has job,has job,has job,has job,has job
210500031,has job,has job,has job,has job,has job,has job,has job,has job,has job
210900007,has job,has job,has job,has job,has job,has job,has job,has job,has job
211600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
211700072,has job,has job,has job,has job,has job,has job,has job,,has job
211732002,,,,,,,,,has job
220100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
220400008,has job,has job,has job,has job,has job,has job,has job,has job,has job
220431002,has job,has job,has job,has job,has job,has job,has job,has job,has job
220500051,,has job,has job,has job,has job,has job,has job,has job,has job
220531001,has job,has job,has job,has job,has job,has job,has job,has job,has job
220531002,,,,,,,,has job,has job
220600001,has job,has job,has job,has job,has job,has job,,,
220700061,,,,,,,has job,has job,
220731001,has job,has job,has job,has job,has job,has job,has job,has job,has job
220900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
220900002,,has job,has job,has job,has job,has job,has job,has job,has job
220900041,has job,has job,has job,has job,has job,has job,has job,has job,has job
221100005,,,,has job,has job,has job,has job,has job,
221100008,has job,has job,has job,has job,has job,has job,has job,has job,
2211000010,has job,has job,has job,has job,has job,has job,has job,has job,
221200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
221200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
221200005,,,,,,,,,has job
221400001,has job,,,,,,,,
221800001,has job,has job,has job,has job,has job,has job,has job,has job,
222000004,,,,has job,has job,has job,has job,has job,
222000006,,,,,,has job,has job,has job,
230200002,,,,,has job,has job,has job,has job,has job
230500003,,,,,,,has job,,
230500041,,,,,has job,,,,
230731001,has job,has job,has job,has job,has job,has job,has job,has job,has job
230731002,has job,has job,has job,has job,has job,has job,has job,has job,has job
230800002,,,,has job,has job,has job,has job,has job,has job
230900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
231000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
231100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
231100004,has job,has job,has job,has job,has job,has job,has job,has job,has job
231200003,,,,,,,,,has job
231200004,,,,,has job,has job,,,
231400092,has job,has job,has job,has job,has job,has job,,,
240100006,,,,,,,has job,has job,has job
240100007,has job,has job,has job,has job,has job,has job,has job,has job,has job
240200003,has job,has job,has job,has job,has job,has job,has job,has job,has job
240300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
