Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
12200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
12200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
12200006,no job,no job,no job,no job,no job,no job,no job,no job,has job
12200007,has job,has job,has job,has job,has job,has job,has job,has job,has job
12200009,no job,no job,no job,no job,has job,has job,has job,has job,has job
12200031,has job,has job,has job,has job,has job,has job,has job,has job,has job
12500003,no job,no job,has job,has job,has job,has job,has job,has job,has job
12500008,no job,no job,has job,has job,has job,has job,has job,has job,has job
12900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
12900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
20100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
20100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
20100003,has job,has job,has job,has job,has job,has job,has job,has job,has job
20100004,has job,has job,has job,has job,has job,has job,has job,has job,has job
20200001,no job,no job,has job,has job,has job,has job,has job,has job,has job
20300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
20400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
20400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
20400033,no job,no job,no job,no job,no job,no job,has job,has job,has job
20600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
20600006,no job,no job,no job,no job,no job,no job,has job,has job,has job
20900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
21100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
21100041,no job,no job,no job,no job,no job,no job,no job,has job,has job
21100091,has job,has job,has job,has job,has job,has job,has job,has job,has job
21800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
21800005,no job,no job,no job,no job,no job,no job,no job,no job,has job
21800006,has job,has job,has job,has job,has job,has job,has job,has job,has job
21800008,no job,no job,no job,no job,no job,no job,no job,has job,has job
21800071,no job,no job,no job,no job,no job,no job,no job,has job,has job
21831002,no job,no job,no job,has job,has job,has job,has job,has job,has job
21831001,has job,has job,has job,has job,has job,has job,has job,has job,has job
21900002,has job,has job,has job,has job,no job,no job,has job,has job,has job
21900003,has job,has job,has job,has job,has job,has job,has job,has job,has job
21900004,no job,no job,no job,no job,no job,no job,no job,no job,no job
22200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
22200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
22500002,has job,has job,has job,has job,has job,no job,no job,has job,has job
22500004,no job,no job,no job,no job,no job,no job,has job,has job,has job
22600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
22600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
22700002,no job,has job,has job,has job,has job,has job,has job,has job,has job
22700003,has job,has job,has job,has job,has job,has job,has job,has job,has job
22900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
22900002,no job,no job,no job,no job,no job,no job,no job,has job,has job
22900041,no job,no job,no job,no job,no job,no job,no job,no job,no job
22900071,has job,has job,has job,has job,has job,has job,has job,has job,has job
23000006,no job,no job,no job,no job,no job,no job,no job,no job,no job
230000011,no job,no job,no job,no job,no job,no job,no job,has job,has job
30100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
30100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
30100007,no job,no job,no job,no job,no job,no job,no job,no job,no job
30100042,no job,no job,no job,no job,no job,has job,has job,has job,has job
30100041,has job,has job,has job,has job,has job,has job,has job,has job,has job
30200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
30200052,no job,no job,has job,has job,has job,has job,has job,has job,has job
30300003,has job,has job,has job,has job,has job,has job,has job,has job,has job
30300007,has job,has job,has job,has job,has job,has job,has job,has job,has job
30312002,has job,has job,has job,has job,has job,has job,has job,has job,has job
30312031,has job,has job,has job,no job,no job,no job,no job,no job,has job
30400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
30400003,no job,no job,no job,has job,has job,has job,has job,has job,has job
30500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
30500002,has job,has job,has job,has job,has job,has job,has job,has job,has job
30500005,no job,has job,has job,has job,has job,has job,has job,has job,has job
30500006,has job,has job,has job,has job,no job,no job,no job,no job,has job
30500007,no job,no job,no job,no job,no job,no job,no job,has job,has job
30500042,has job,has job,has job,has job,has job,has job,has job,has job,has job
30500041,has job,has job,has job,has job,has job,has job,has job,has job,has job
30700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
30800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
30800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
30800004,no job,no job,no job,no job,no job,no job,no job,has job,has job
30800006,no job,no job,no job,no job,no job,no job,no job,no job,has job
30800007,no job,no job,no job,no job,no job,no job,no job,has job,has job
30900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
309000014,no job,no job,no job,no job,has job,has job,has job,has job,has job
30931001,has job,has job,has job,has job,has job,has job,has job,has job,has job
30931002,has job,no job,has job,has job,no job,no job,no job,no job,no job
31000003,has job,has job,has job,has job,has job,has job,has job,has job,has job
31000041,has job,has job,has job,has job,has job,has job,has job,has job,has job
31000042,has job,has job,has job,has job,has job,has job,has job,has job,has job
31000051,no job,no job,has job,has job,has job,has job,has job,has job,has job
31100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
31100004,no job,no job,no job,no job,no job,no job,no job,has job,has job
31200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
31200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
31211001,has job,has job,has job,has job,has job,has job,has job,has job,has job
31211002,has job,has job,has job,has job,has job,has job,has job,has job,has job
31300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
