hhid14_9,pid14,movenum,mg21bx,mg21cx,mg21dx,mg21ex,mg21e,mg21d,mg21c,mg21b,mg24x,mg24mth,mg24yr,mg25,mg26,mg27x,mg27,mg28,mg29,mg30,mg31,mg34a,mg34,mg35,mg36,mg39,mg40,hhid14,pidlink,version,module
001060000,1,1,3,3,3,3,62,12,1,62,1,98,1970,NA,3,1,180,1,1,1,NA,NA,3,NA,,3,NA,0010600,001060001,1.3,B3A_MG2
001060004,1,1,1,1,3,3,62,12,14,998,1,98,2007,NA,1,1,12,4,NA,NA,NA,NA,3,NA,,1,NA,0010651,001060004,1.3,B3A_MG2
001060004,1,2,3,3,3,3,62,12,1,62,1,98,2009,NA,1,1,12,1,1,2,NA,NA,1,2,AG,3,NA,0010651,001060004,1.3,B3A_MG2
001060000,7,1,3,3,3,3,62,12,1,62,1,7,1989,NA,1,1,0,4,NA,NA,NA,NA,3,NA,,3,NA,0010600,001060007,1.3,B3A_MG2
001060004,2,1,3,3,3,3,62,12,1,62,1,98,2010,NA,1,1,12,1,1,1,NA,NA,1,3,AG,3,NA,0010651,001065102,1.3,B3A_MG2
001080003,1,1,8,1,1,3,62,14,71,998,1,1,2003,NA,3,8,NA,1,1,2,NA,NA,3,NA,,1,NA,0010851,001080003,1.3,B3A_MG2
001080003,1,2,3,3,3,3,62,12,1,62,1,12,2008,NA,3,8,NA,95,NA,NA,NA,NA,3,NA,,3,NA,0010851,001080003,1.3,B3A_MG2
001080000,8,1,8,8,1,3,62,14,98,998,1,1,2007,NA,3,8,NA,1,1,2,NA,NA,3,NA,,1,NA,0010800,001080008,1.3,B3A_MG2
001080000,8,2,3,3,3,3,62,12,1,62,1,9,2012,NA,3,8,NA,9,NA,NA,NA,NA,3,NA,,3,NA,0010800,001080008,1.3,B3A_MG2
001080003,2,1,3,3,3,3,62,12,1,62,1,10,1994,NA,1,1,3,4,NA,NA,NA,NA,3,NA,,3,NA,0010851,001080012,1.3,B3A_MG2
001220009,1,1,3,3,3,3,62,12,4,32,1,9,2013,NA,5,8,NA,2,NA,NA,1,NA,3,NA,,3,NA,0012251,001220009,1.3,B3A_MG2
001224100,2,1,3,3,3,3,62,12,1,62,1,12,1996,NA,3,1,3,4,NA,NA,NA,NA,3,NA,,3,NA,0012241,001220011,1.3,B3A_MG2
001240000,2,1,3,3,3,3,62,12,1,62,1,11,1974,NA,1,1,0,4,NA,NA,NA,NA,3,NA,,3,NA,0012400,001240002,1.3,B3A_MG2
001240000,3,1,1,1,3,3,62,12,4,998,1,98,2006,NA,5,8,NA,95,NA,NA,NA,NA,1,3,AG,1,NA,0012400,001240003,1.3,B3A_MG2
001240000,3,2,3,3,3,3,62,12,1,62,1,8,2014,NA,1,8,NA,7,NA,NA,NA,NA,1,1,G,3,NA,0012400,001240003,1.3,B3A_MG2
001240005,2,1,3,3,3,3,62,12,1,62,1,1,2010,NA,1,1,3,4,NA,NA,NA,NA,3,NA,,3,NA,0012451,001240005,1.3,B3A_MG2
001240000,7,1,1,1,3,3,62,12,78,40,1,98,9998,NA,3,1,60,2,NA,NA,1,NA,3,NA,,1,NA,0012400,001240007,1.3,B3A_MG2
001240000,7,2,3,3,3,3,62,12,1,62,1,98,9998,NA,1,1,60,9,NA,NA,NA,NA,3,NA,,3,NA,0012400,001240007,1.3,B3A_MG2
001240009,2,1,1,3,3,3,62,12,1,998,1,7,2002,NA,5,1,60,2,NA,NA,1,NA,3,NA,,1,NA,0012452,001240009,1.3,B3A_MG2
001240009,2,2,3,3,3,3,62,12,1,62,1,7,2005,NA,1,1,60,12,NA,NA,NA,NA,3,NA,,1,NA,0012452,001240009,1.3,B3A_MG2
001240009,2,3,3,3,3,3,62,12,1,62,1,4,2006,NA,1,1,2,4,NA,NA,NA,NA,3,NA,,3,NA,0012452,001240009,1.3,B3A_MG2
001240000,12,1,1,1,1,1,62,12,78,40,1,7,2004,NA,3,1,49,2,NA,NA,1,NA,3,NA,,1,NA,0012400,001240012,1.3,B3A_MG2
