Person,2007,2008,2009,2010,2011,2012,2013,2014
10600001,has job,has job,has job,no job,no job,no job,no job,6
10600041,has job,has job,has job,has job,has job,has job,has job,has job
10600007,has job,has job,has job,has job,has job,has job,has job,6
10600008,no job,no job,has job,has job,has job,has job,has job,6
10600042,no job,has job,has job,has job,has job,has job,has job,has job
10800031,has job,has job,has job,has job,has job,has job,has job,6
10800008,has job,has job,has job,has job,has job,has job,has job,6
10800032,has job,has job,has job,has job,has job,has job,has job,6
12200001,has job,has job,has job,has job,has job,has job,has job,6
12200002,has job,has job,has job,has job,has job,has job,has job,6
12241001,has job,has job,has job,has job,has job,has job,has job,6
12200006,has job,has job,has job,has job,has job,has job,has job,6
12242001,no job,no job,no job,no job,no job,no job,no job,6
12200091,no job,no job,no job,no job,no job,has job,has job,no job
12241002,has job,has job,has job,has job,has job,has job,has job,6
12241003,has job,has job,has job,has job,has job,has job,has job,6
12400003,has job,has job,has job,has job,has job,has job,has job,6
12400004,has job,has job,has job,has job,has job,has job,has job,6
12400052,has job,has job,has job,has job,has job,has job,has job,6
12400007,no job,no job,no job,has job,has job,has job,has job,6
12400092,has job,has job,has job,has job,has job,has job,has job,6
124000012,has job,has job,has job,has job,has job,has job,has job,6
124000014,no job,no job,no job,no job,no job,has job,has job,6
124000016,has job,has job,has job,has job,has job,has job,has job,6
124000017,no job,no job,no job,no job,no job,no job,has job,6
124000024,no job,no job,no job,no job,no job,has job,has job,6
124000025,has job,has job,has job,has job,has job,has job,has job,6
12400051,has job,has job,has job,has job,has job,has job,has job,6
12400091,has job,has job,has job,has job,has job,has job,has job,6
12500003,has job,has job,has job,has job,has job,has job,has job,6
12500008,has job,has job,has job,has job,has job,has job,has job,6
12900001,has job,has job,has job,has job,has job,no job,has job,6
12900032,has job,has job,has job,has job,has job,has job,has job,has job
12900041,has job,has job,has job,has job,has job,has job,has job,has job
12900051,has job,has job,has job,has job,has job,has job,has job,has job
12900008,no job,no job,no job,has job,has job,has job,has job,6
12900031,has job,has job,has job,has job,has job,has job,has job,has job
20100002,has job,has job,has job,has job,has job,has job,has job,6
20100003,has job,has job,has job,has job,has job,has job,has job,6
20100004,has job,has job,has job,has job,has job,has job,has job,6
20100005,no job,no job,no job,no job,has job,has job,has job,6
20100062,no job,no job,no job,has job,no job,has job,no job,no job
20100081,no job,no job,no job,no job,no job,no job,no job,has job
201000011,no job,no job,no job,no job,no job,has job,has job,6
20100061,no job,no job,no job,has job,has job,has job,has job,has job
20200001,has job,has job,has job,has job,has job,has job,has job,6
202000011,no job,no job,no job,no job,no job,no job,has job,6
20400001,has job,has job,has job,has job,has job,has job,has job,has job
20400004,no job,no job,no job,has job,no job,no job,no job,6
20400061,no job,no job,no job,no job,no job,no job,no job,has job
20400007,no job,no job,no job,no job,no job,no job,has job,6
20500003,has job,has job,has job,has job,has job,has job,has job,has job
205000010,no job,has job,has job,has job,has job,has job,has job,has job
20600002,has job,has job,has job,has job,has job,has job,has job,6
20600006,has job,has job,has job,has job,has job,has job,has job,6
20600007,no job,no job,no job,no job,no job,no job,no job,6
20600041,has job,has job,has job,has job,has job,has job,has job,has job
21143001,has job,has job,has job,has job,has job,has job,has job,6
21143004,no job,no job,no job,no job,no job,no job,no job,6
21500001,has job,has job,has job,has job,has job,has job,no job,6
21500002,has job,has job,has job,has job,has job,has job,has job,6
21800002,has job,has job,has job,has job,has job,has job,has job,6
21800005,has job,has job,has job,has job,has job,has job,has job,6
21800006,has job,has job,has job,has job,has job,has job,has job,6
21841002,has job,has job,has job,has job,has job,has job,has job,6
21831001,has job,has job,has job,has job,has job,has job,has job,has job
21900003,has job,has job,has job,has job,no job,no job,no job,6
21900004,no job,no job,no job,no job,has job,has job,has job,6
21900054,no job,no job,no job,no job,no job,no job,no job,6
219000012,has job,has job,has job,has job,has job,has job,has job,6
219000013,no job,has job,has job,no job,no job,has job,has job,6
22000001,has job,has job,has job,has job,has job,has job,has job,6
22000002,has job,has job,has job,has job,has job,has job,has job,6
22000003,no job,no job,no job,no job,has job,has job,has job,6
22000004,has job,has job,has job,has job,has job,has job,has job,6
22100008,has job,has job,has job,no job,no job,no job,no job,6
22200001,has job,has job,has job,has job,has job,has job,has job,6
22200002,has job,has job,has job,has job,has job,has job,has job,6
22500004,no job,no job,no job,has job,has job,no job,has job,6
22500005,has job,no job,has job,has job,has job,has job,has job,6
22541001,no job,no job,no job,no job,no job,no job,no job,6
