Province,2007,2008,2009,2010,2011,2012,2013,2014
Aceh,9,5,5,4,3,5,4,3
North Sumatra,216,282,333,414,486,564,648,506
West Sumatra,93,126,168,213,244,289,329,262
Riau,42,55,61,64,74,87,96,97
Jambi,17,18,25,25,26,20,26,23
South Sumatra,114,148,197,245,288,334,375,196
Bengkulu,4,3,5,4,4,2,3,0
Lampung,65,105,128,162,188,211,254,214
DKI Jakarta,208,245,299,331,363,389,419,277
West Java,235,311,408,519,611,702,800,668
Central Java,179,277,366,439,506,606,723,451
DI Yogyakarta,60,81,109,146,174,206,239,145
East Java,175,244,327,399,467,556,643,449
Bali,99,125,164,190,219,262,281,221
West Nusa Tenggara,108,162,222,261,305,368,431,171
East Nusa Tenggara,3,2,3,5,6,6,5,0
East Timor,0,0,0,0,0,0,0,0
West Kalimantan,3,4,2,4,1,2,4,6
Central Kalimantan,7,10,11,16,21,26,27,28
South Kalimantan,55,84,125,172,211,244,281,170
East Kalimantan,23,37,40,48,54,68,71,60
North Sulawesi,0,0,0,0,0,0,2,0
Central Sulawesi,0,0,2,4,2,2,2,0
South Sulawesi,100,118,144,172,218,260,300,255
Southeast Sulawesi,4,3,3,3,2,2,2,1
Maluku,4,3,3,3,3,4,3,1
Irian Jaya,0,0,0,1,1,0,0,0
Unknown,3033,2641,2207,1741,1373,955,542,81
