Province,2007,2008,2009,2010,2011,2012,2013,2014
Aceh,1.0,1.0,0.83,1.0,0.6,0.83,1.0,1.0
North Sumatra,0.77,0.78,0.75,0.77,0.79,0.82,0.83,0.58
West Sumatra,0.74,0.68,0.7,0.73,0.73,0.79,0.84,0.61
Riau,0.76,0.76,0.81,0.8,0.8,0.79,0.83,0.84
Jambi,0.85,0.9,0.83,0.86,0.81,0.83,0.93,0.92
South Sumatra,0.75,0.7,0.69,0.76,0.77,0.81,0.84,0.41
Bengkulu,0.67,0.6,0.83,0.8,1.0,0.67,0.75,
Lampung,0.68,0.73,0.71,0.68,0.69,0.71,0.75,0.57
DKI Jakarta,0.79,0.77,0.82,0.82,0.8,0.8,0.82,0.52
West Java,0.76,0.74,0.74,0.75,0.77,0.78,0.81,0.61
Central Java,0.73,0.75,0.76,0.74,0.75,0.79,0.82,0.46
DI Yogyakarta,0.72,0.74,0.71,0.7,0.72,0.74,0.77,0.41
East Java,0.73,0.71,0.72,0.71,0.73,0.77,0.79,0.5
Bali,0.79,0.75,0.76,0.73,0.74,0.81,0.81,0.59
West Nusa Tenggara,0.67,0.7,0.7,0.71,0.75,0.78,0.82,0.28
East Nusa Tenggara,1.0,1.0,0.6,0.83,0.75,0.75,0.83,
East Timor,,,,,,,,
West Kalimantan,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0
Central Kalimantan,0.78,0.77,0.79,0.84,0.81,0.84,0.82,0.82
South Kalimantan,0.65,0.63,0.66,0.72,0.74,0.76,0.83,0.47
East Kalimantan,0.77,0.74,0.77,0.8,0.78,0.8,0.84,0.85
North Sulawesi,0.0,,,,,,1.0,
Central Sulawesi,0.0,0.0,0.67,1.0,0.67,1.0,1.0,
South Sulawesi,0.71,0.66,0.67,0.68,0.74,0.8,0.85,0.65
Southeast Sulawesi,0.8,0.75,0.5,0.5,0.5,0.67,1.0,1.0
Maluku,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Irian Jaya,0.0,0.0,0.0,0.5,1.0,,,
Unknown,0.52,0.54,0.57,0.59,0.64,0.67,0.72,0.64
