hhid_pid,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
001060000-1,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62
001060000-7,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62
001060004-1,NA,NA,NA,NA,NA,NA,NA,998 - 14 - 12 - 62,998 - 14 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62
001060004-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62
001080000-8,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 14 - 62,998 - 98 - 14 - 62,998 - 98 - 14 - 62,998 - 98 - 14 - 62,998 - 98 - 14 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62
001080003-1,NA,NA,NA,998 - 71 - 14 - 62,998 - 71 - 14 - 62,998 - 71 - 14 - 62,998 - 71 - 14 - 62,998 - 71 - 14 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62
001080003-2,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62
001220009-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32 - 4 - 12 - 62,32 - 4 - 12 - 62
001224100-2,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62
001240000-2,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62,62 - 1 - 12 - 62
