2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,hhid_pid
62 - 1 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10600001
62 - 1 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10600007
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,10600041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,10600042
,NA,NA,NA,NA,NA,NA,14,14,14,14,14,12,12,12,10800008
,NA,NA,14,14,14,14,14,12,12,12,12,12,12,12,10800031
62 - 1 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10800032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12200091
62 - 1 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12241002
62 - 1 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12400002
,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,12400003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12400007
,NA,NA,NA,12,12,12,12,12,12,34,34,34,34,12,124000012
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,124000024
60 - 1 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,124000025
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12400052
60 - 1 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12400091
,NA,12,12,12,12,12,12,12,12,12,12,12,12,12,12400092
,NA,12,12,12,12,12,12,12,12,12,12,12,12,12,12900032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12900041
,NA,NA,12,12,12,12,12,12,12,12,12,12,12,12,12900051
30 - 14 - 12 - 62,12,12,12,12,12,12,31,31,31,12,12,12,12,12,20100005
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,20100061
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,20100062
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,20100081
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,202000011
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,20400004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,20400061
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,20441003
21 - 7 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20500003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20600042
