Province,2007,2008,2009,2010,2011,2012,2013,2014
Aceh,0,0,1,0,2,1,0,0
North Sumatra,63,81,110,126,130,126,133,360
West Sumatra,32,58,71,78,89,77,65,168
Riau,13,17,14,16,18,23,19,19
Jambi,3,2,5,4,6,4,2,2
South Sumatra,39,63,87,78,87,79,74,282
Bengkulu,2,2,1,1,0,1,1,0
Lampung,31,38,53,76,83,87,83,164
DKI Jakarta,54,73,66,73,91,98,93,256
West Java,73,107,140,171,186,199,190,431
Central Java,65,91,118,151,166,162,158,529
DI Yogyakarta,23,29,45,63,68,72,70,206
East Java,64,100,127,162,173,168,167,451
Bali,26,41,51,69,77,61,64,155
West Nusa Tenggara,54,70,94,106,104,102,94,442
East Nusa Tenggara,0,0,2,1,2,2,1,0
East Timor,0,0,0,0,0,0,0,0
West Kalimantan,0,0,0,1,0,0,0,0
Central Kalimantan,2,3,3,3,5,5,6,6
South Kalimantan,29,49,65,67,76,78,59,192
East Kalimantan,7,13,12,12,15,17,14,11
North Sulawesi,1,0,0,0,0,0,0,0
Central Sulawesi,2,1,1,0,1,0,0,0
South Sulawesi,40,61,71,82,76,65,54,140
Southeast Sulawesi,1,1,3,3,2,1,0,0
Maluku,0,0,0,0,0,0,0,0
Irian Jaya,1,1,2,1,0,0,0,0
Unknown,2787,2225,1698,1210,782,466,207,45
